permutation,update,agent,test number,0
1,2,A1,1,0.9309024604461356
1,2,A1,2,0.9309024604461356
1,2,A1,3,0.9309024604461356
1,2,A1,4,0.9309024604461356
1,2,A1,5,0.9309024604461356
1,2,A1,6,0.9309024604461356
1,2,A1,7,0.9309024604461356
1,2,A1,8,0.9309024604461356
1,2,A1,9,0.9309024604461356
1,2,A1,10,0.9309024604461356
1,2,A1,11,0.9309024604461356
1,2,A1,12,0.9309024604461356
1,2,A1,13,0.9309024604461356
1,2,A1,14,0.9309024604461356
1,2,A1,15,0.9309024604461356
1,2,A1,16,0.9309024604461356
1,2,A1,17,0.9309024604461356
1,2,A1,18,0.9309024604461356
1,2,A1,19,0.9309024604461356
1,2,A1,20,0.9309024604461356
1,2,A1,21,0.9309024604461356
1,2,A1,22,0.9309024604461356
1,2,A1,23,0.9309024604461356
1,2,A1,24,0.9309024604461356
1,2,A1,25,0.9309024604461356
1,2,A1,26,0.9309024604461356
1,2,A1,27,0.9309024604461356
1,2,A1,28,0.9309024604461356
1,2,A1,29,0.9309024604461356
1,2,A1,30,0.9309024604461356
1,2,A1,31,0.9309024604461356
1,2,A1,32,0.9309024604461356
1,2,A1,33,0.9309024604461356
1,2,A1,34,0.9309024604461356
1,2,A1,35,0.9309024604461356
1,2,A1,36,0.9309024604461356
1,2,A1,37,0.9309024604461356
1,2,A1,38,0.9309024604461356
1,2,A1,39,0.9309024604461356
1,2,A1,40,0.9309024604461356
1,2,A1,41,0.9309024604461356
1,2,A1,42,0.9309024604461356
1,2,A1,43,0.9309024604461356
1,2,A1,44,0.9309024604461356
1,2,A1,45,0.9309024604461356
1,2,A1,46,0.9309024604461356
1,2,A1,47,0.9309024604461356
1,2,A1,48,0.9309024604461356
1,2,A1,49,0.9309024604461356
1,2,A1,50,0.9309024604461356
1,2,A1,51,0.9309024604461356
1,2,A1,52,0.9309024604461356
1,2,A1,53,0.9309024604461356
1,2,A1,54,0.9309024604461356
1,2,A1,55,0.9309024604461356
1,2,A1,56,0.9309024604461356
1,2,A1,57,0.9309024604461356
1,2,A1,58,0.9309024604461356
1,2,A1,59,0.9309024604461356
1,2,A1,60,0.9309024604461356
1,2,A1,61,0.9309024604461356
1,2,A1,62,0.9309024604461356
1,2,A1,63,0.9309024604461356
1,2,A1,64,0.9309024604461356
1,2,A1,65,0.9309024604461356
1,2,A1,66,0.9309024604461356
1,2,A1,67,0.9309024604461356
1,2,A1,68,0.9309024604461356
1,2,A1,69,0.9309024604461356
1,2,A1,70,0.9309024604461356
1,2,A1,71,0.9309024604461356
1,2,A1,72,0.9309024604461356
1,2,A1,73,0.9309024604461356
1,2,A1,74,0.9309024604461356
1,2,A1,75,0.9309024604461356
1,2,A1,76,0.9309024604461356
1,2,A1,77,0.9309024604461356
1,2,A1,78,0.9309024604461356
